observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,water_regime,season,Check(EIPO:0000004),Check(EIPO:0000004).date,L10(MIPO:0000020),L10(MIPO:0000020).date,L11(MIPO:0000020),L11(MIPO:0000020).date,L12(MIPO:0000020),L12(MIPO:0000020).date,L13(MIPO:0000020),L13(MIPO:0000020).date,L14(MIPO:0000020),L14(MIPO:0000020).date,L9(MIPO:0000020),L9(MIPO:0000020).date,TnbL(MIPO:0000019),TnbL(MIPO:0000019).date,W10(MIPO:0000021),W10(MIPO:0000021).date,W11(MIPO:0000021),W11(MIPO:0000021).date,W12(MIPO:0000021),W12(MIPO:0000021).date,W13(MIPO:0000021),W13(MIPO:0000021).date,W14(MIPO:0000021),W14(MIPO:0000021).date,W9(MIPO:0000021),W9(MIPO:0000021).date
1,3353931,Gai13,Biogemma Gaillac 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,1,,,"REPLICATE>BLOCK>PLOT>PLANT:1,REPLICATE>BLOCK>PLOT:R1014B02252,REPLICATE>BLOCK:17,REPLICATE:1,REPLICATE:3,REPLICATE:2",watered,2013,Yes,,83,,,,94,,,,89.5,,,,17,,9,,,,10.5,,,,10.2,,,
7,3353940,Gai13,Biogemma Gaillac 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,7,,,"REPLICATE>BLOCK>PLOT>PLANT:7,REPLICATE>BLOCK>PLOT:R1014B02252,REPLICATE>BLOCK:17,REPLICATE:1,REPLICATE:3,REPLICATE:2",watered,2013,Yes,,87.5,,,,88.5,,,,83.5,,,,17,,7.5,,,,9.5,,,,8.5,,,
9,3353942,Gai13,Biogemma Gaillac 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,9,,,"REPLICATE>BLOCK>PLOT>PLANT:9,REPLICATE>BLOCK>PLOT:R1014B02252,REPLICATE>BLOCK:17,REPLICATE:1,REPLICATE:3,REPLICATE:2",watered,2013,Yes,,80.5,,,,92.5,,,,83.5,,,,17,,8,,,,10,,,,8.5,,,
4,3353937,Gai13,Biogemma Gaillac 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,4,,,"REPLICATE>BLOCK>PLOT>PLANT:4,REPLICATE>BLOCK>PLOT:R1014B02252,REPLICATE>BLOCK:17,REPLICATE:1,REPLICATE:3,REPLICATE:2",watered,2013,Yes,,83.5,,,,93,,,,88,,,,17,,8,,,,9,,,,9,,,
5,3353938,Gai13,Biogemma Gaillac 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,5,,,"REPLICATE>BLOCK>PLOT>PLANT:5,REPLICATE>BLOCK>PLOT:R1014B02252,REPLICATE>BLOCK:17,REPLICATE:1,REPLICATE:3,REPLICATE:2",watered,2013,Yes,,83,,,,97.5,,,,86.5,,,,17,,8.2,,,,9,,,,8.5,,,
2,3353955,Gai13,Biogemma Gaillac 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,2,,,"REPLICATE>BLOCK>PLOT>PLANT:2,REPLICATE>BLOCK>PLOT:R1024B02252,REPLICATE>BLOCK:1,REPLICATE:1,REPLICATE:3,REPLICATE:2,REPLICATE:2",rainfed,2013,Yes,,81.5,,,,92,,,,69,,,,16,,7.5,,,,7.5,,,,7.2,,,
3,3353956,Gai13,Biogemma Gaillac 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,3,,,"REPLICATE>BLOCK>PLOT>PLANT:3,REPLICATE>BLOCK>PLOT:R1024B02252,REPLICATE>BLOCK:1,REPLICATE:1,REPLICATE:3,REPLICATE:2,REPLICATE:2",rainfed,2013,Yes,,80,,,,89.5,,,,72,,,,17,,8,,,,8.2,,,,8,,,
8,3353941,Gai13,Biogemma Gaillac 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,8,,,"REPLICATE>BLOCK>PLOT>PLANT:8,REPLICATE>BLOCK>PLOT:R1014B02252,REPLICATE>BLOCK:17,REPLICATE:1,REPLICATE:3,REPLICATE:2",watered,2013,Yes,,80,,,,90.5,,,,85.5,,,,17,,8,,,,8.5,,,,8.5,,,
6,3353939,Gai13,Biogemma Gaillac 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,6,,,"REPLICATE>BLOCK>PLOT>PLANT:6,REPLICATE>BLOCK>PLOT:R1014B02252,REPLICATE>BLOCK:17,REPLICATE:1,REPLICATE:3,REPLICATE:2",watered,2013,Yes,,84,,,,97,,,,87.5,,,,17,,8,,,,9,,,,9,,,
10,3353943,Gai13,Biogemma Gaillac 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,10,,,"REPLICATE>BLOCK>PLOT>PLANT:10,REPLICATE>BLOCK>PLOT:R1014B02252,REPLICATE>BLOCK:17,REPLICATE:1,REPLICATE:3,REPLICATE:2",watered,2013,Yes,,84,,,,100,,,,92.5,,,,17,,8,,,,10,,,,9.5,,,
2,3353935,Gai13,Biogemma Gaillac 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,2,,,"REPLICATE>BLOCK>PLOT>PLANT:2,REPLICATE>BLOCK>PLOT:R1014B02252,REPLICATE>BLOCK:17,REPLICATE:1,REPLICATE:3,REPLICATE:2",watered,2013,Yes,,74,,,,94.5,,,,88.5,,,,17,,7.3,,,,7.7,,,,8,,,
3,3353936,Gai13,Biogemma Gaillac 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,3,,,"REPLICATE>BLOCK>PLOT>PLANT:3,REPLICATE>BLOCK>PLOT:R1014B02252,REPLICATE>BLOCK:17,REPLICATE:1,REPLICATE:3,REPLICATE:2",watered,2013,Yes,,84.5,,,,93.5,,,,86.5,,,,17,,8.5,,,,9.5,,,,9,,,
5,3353973,Gai13,Biogemma Gaillac 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,5,,,"REPLICATE>BLOCK>PLOT>PLANT:5,REPLICATE>BLOCK>PLOT:R1024B01252,REPLICATE>BLOCK:28,REPLICATE:1,REPLICATE:3,REPLICATE:1,REPLICATE:2",rainfed,2013,Yes,,78,,,,91,,,,72.5,,,,17,,7,,,,8,,,,7.7,,,
9,3353975,Gai13,Biogemma Gaillac 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,9,,,"REPLICATE>BLOCK>PLOT>PLANT:9,REPLICATE>BLOCK>PLOT:R1024B01252,REPLICATE>BLOCK:28,REPLICATE:1,REPLICATE:3,REPLICATE:1,REPLICATE:2",rainfed,2013,Yes,,78.5,,,,89,,,,81,,,,17,,8,,,,9,,,,9,,,
1,3353969,Gai13,Biogemma Gaillac 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,1,,,"REPLICATE>BLOCK>PLOT>PLANT:1,REPLICATE>BLOCK>PLOT:R1024B01252,REPLICATE>BLOCK:28,REPLICATE:1,REPLICATE:3,REPLICATE:1,REPLICATE:2",rainfed,2013,Yes,,68,,,,90,,,,70,,,,17,,7,,,,8,,,,8,,,
9,3353926,Gai13,Biogemma Gaillac 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,9,,,"REPLICATE>BLOCK>PLOT>PLANT:9,REPLICATE>BLOCK>PLOT:R1024B03252,REPLICATE>BLOCK:15,REPLICATE:1,REPLICATE:3,REPLICATE:2",rainfed,2013,Yes,,,,84.5,,,,79,,,,74,,16,,,,8.5,,,,7.7,,,,7.5,
1,3353964,Gai13,Biogemma Gaillac 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,1,,,"REPLICATE>BLOCK>PLOT>PLANT:1,REPLICATE>BLOCK>PLOT:R1024B03252,REPLICATE>BLOCK:15,REPLICATE:1,REPLICATE:3,REPLICATE:2",rainfed,2013,Yes,,84,,,,92,,,,71,,,,17,,7.5,,,,8,,,,7.2,,,
7,3353924,Gai13,Biogemma Gaillac 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,7,,,"REPLICATE>BLOCK>PLOT>PLANT:7,REPLICATE>BLOCK>PLOT:R1024B03252,REPLICATE>BLOCK:15,REPLICATE:1,REPLICATE:3,REPLICATE:2",rainfed,2013,Yes,,,,91.5,,,,68,,,,76,,16,,,,7,,,,7,,,,6.5,
4,3353919,Gai13,Biogemma Gaillac 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,4,,,"REPLICATE>BLOCK>PLOT>PLANT:4,REPLICATE>BLOCK>PLOT:R1024B03252,REPLICATE>BLOCK:15,REPLICATE:1,REPLICATE:3,REPLICATE:2",rainfed,2013,Yes,,,,84.5,,,,84,,,,67.5,,16,,,,9,,,,9,,,,7.5,
8,3353925,Gai13,Biogemma Gaillac 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,8,,,"REPLICATE>BLOCK>PLOT>PLANT:8,REPLICATE>BLOCK>PLOT:R1024B03252,REPLICATE>BLOCK:15,REPLICATE:1,REPLICATE:3,REPLICATE:2",rainfed,2013,Yes,,,,90,,,,75.5,,,,75.5,,16,,,,7.5,,,,7,,,,6.5,
6,3353967,Gai13,Biogemma Gaillac 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,6,,,"REPLICATE>BLOCK>PLOT>PLANT:6,REPLICATE>BLOCK>PLOT:R1024B03252,REPLICATE>BLOCK:15,REPLICATE:1,REPLICATE:3,REPLICATE:2",rainfed,2013,Yes,,80,,,,94,,,,72.5,,,,17,,7.7,,,,8.5,,,,8,,,
10,3353968,Gai13,Biogemma Gaillac 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,10,,,"REPLICATE>BLOCK>PLOT>PLANT:10,REPLICATE>BLOCK>PLOT:R1024B03252,REPLICATE>BLOCK:15,REPLICATE:1,REPLICATE:3,REPLICATE:2",rainfed,2013,Yes,,85.5,,,,92,,,,74,,,,17,,7.5,,,,8.5,,,,8,,,
2,3353965,Gai13,Biogemma Gaillac 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,2,,,"REPLICATE>BLOCK>PLOT>PLANT:2,REPLICATE>BLOCK>PLOT:R1024B03252,REPLICATE>BLOCK:15,REPLICATE:1,REPLICATE:3,REPLICATE:2",rainfed,2013,Yes,,75,,,,86.5,,,,71,,,,17,,7.5,,,,8,,,,7.5,,,
3,3353966,Gai13,Biogemma Gaillac 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,3,,,"REPLICATE>BLOCK>PLOT>PLANT:3,REPLICATE>BLOCK>PLOT:R1024B03252,REPLICATE>BLOCK:15,REPLICATE:1,REPLICATE:3,REPLICATE:2",rainfed,2013,Yes,,79,,,,86,,,,78,,,,17,,8.5,,,,10,,,,9.5,,,
9,3353949,Gai13,Biogemma Gaillac 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,9,,,"REPLICATE>BLOCK>PLOT>PLANT:9,REPLICATE>BLOCK>PLOT:R1014B01252,REPLICATE>BLOCK:19,REPLICATE:1,REPLICATE:3,REPLICATE:2",watered,2013,Yes,,82,,,,93,,,,83.5,,,,17,,7.5,,,,8.5,,,,8.5,,,
1,3353944,Gai13,Biogemma Gaillac 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,1,,,"REPLICATE>BLOCK>PLOT>PLANT:1,REPLICATE>BLOCK>PLOT:R1014B01252,REPLICATE>BLOCK:19,REPLICATE:1,REPLICATE:3,REPLICATE:2",watered,2013,Yes,,83,,,,92,,,,88,,,,17,,8.3,,,,9,,,,9,,,
3,3353971,Gai13,Biogemma Gaillac 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,3,,,"REPLICATE>BLOCK>PLOT>PLANT:3,REPLICATE>BLOCK>PLOT:R1024B01252,REPLICATE>BLOCK:28,REPLICATE:1,REPLICATE:3,REPLICATE:1,REPLICATE:2",rainfed,2013,Yes,,82.5,,,,92,,,,78.5,,,,17,,8.5,,,,9,,,,8,,,
5,3353923,Gai13,Biogemma Gaillac 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,5,,,"REPLICATE>BLOCK>PLOT>PLANT:5,REPLICATE>BLOCK>PLOT:R1024B03252,REPLICATE>BLOCK:15,REPLICATE:1,REPLICATE:3,REPLICATE:2",rainfed,2013,Yes,,,,89,,,,78.5,,,,69.5,,16,,,,7.5,,,,8,,,,7,
7,3353948,Gai13,Biogemma Gaillac 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,7,,,"REPLICATE>BLOCK>PLOT>PLANT:7,REPLICATE>BLOCK>PLOT:R1014B01252,REPLICATE>BLOCK:19,REPLICATE:1,REPLICATE:3,REPLICATE:2",watered,2013,Yes,,83,,,,95,,,,98,,,,17,,7.5,,,,9.5,,,,10,,,
10,3353963,Gai13,Biogemma Gaillac 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,10,,,"REPLICATE>BLOCK>PLOT>PLANT:10,REPLICATE>BLOCK>PLOT:R1024B02252,REPLICATE>BLOCK:1,REPLICATE:1,REPLICATE:3,REPLICATE:2,REPLICATE:2",rainfed,2013,Yes,,79,,,,88,,,,79.5,,,,17,,8.1,,,,8.5,,,,8.5,,,
4,3353946,Gai13,Biogemma Gaillac 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,4,,,"REPLICATE>BLOCK>PLOT>PLANT:4,REPLICATE>BLOCK>PLOT:R1014B01252,REPLICATE>BLOCK:19,REPLICATE:1,REPLICATE:3,REPLICATE:2",watered,2013,Yes,,86,,,,101,,,,91,,,,17,,8,,,,10,,,,9,,,
6,3353959,Gai13,Biogemma Gaillac 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,6,,,"REPLICATE>BLOCK>PLOT>PLANT:6,REPLICATE>BLOCK>PLOT:R1024B02252,REPLICATE>BLOCK:1,REPLICATE:1,REPLICATE:3,REPLICATE:2,REPLICATE:2",rainfed,2013,Yes,,78,,,,88,,,,72,,,,16,,7.5,,,,7.9,,,,7.5,,,
8,3353961,Gai13,Biogemma Gaillac 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,8,,,"REPLICATE>BLOCK>PLOT>PLANT:8,REPLICATE>BLOCK>PLOT:R1024B02252,REPLICATE>BLOCK:1,REPLICATE:1,REPLICATE:3,REPLICATE:2,REPLICATE:2",rainfed,2013,Yes,,74,,,,85,,,,74,,,,17,,7,,,,8,,,,7.8,,,
8,3353915,Gai13,Biogemma Gaillac 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,8,,,"REPLICATE>BLOCK>PLOT>PLANT:8,REPLICATE>BLOCK>PLOT:R1014B01252,REPLICATE>BLOCK:19,REPLICATE:1,REPLICATE:3,REPLICATE:2",watered,2013,Yes,,,,95,,,,95,,,,79,,17,,,,9,,,,9.5,,,,8.5,
6,3353947,Gai13,Biogemma Gaillac 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,6,,,"REPLICATE>BLOCK>PLOT>PLANT:6,REPLICATE>BLOCK>PLOT:R1014B01252,REPLICATE>BLOCK:19,REPLICATE:1,REPLICATE:3,REPLICATE:2",watered,2013,Yes,,80,,,,96,,,,88,,,,17,,7,,,,9,,,,9.2,,,
7,3353960,Gai13,Biogemma Gaillac 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,7,,,"REPLICATE>BLOCK>PLOT>PLANT:7,REPLICATE>BLOCK>PLOT:R1024B02252,REPLICATE>BLOCK:1,REPLICATE:1,REPLICATE:3,REPLICATE:2,REPLICATE:2",rainfed,2013,Yes,,81.5,,,,88,,,,64,,,,16,,7,,,,7,,,,6.5,,,
10,3353950,Gai13,Biogemma Gaillac 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,10,,,"REPLICATE>BLOCK>PLOT>PLANT:10,REPLICATE>BLOCK>PLOT:R1014B01252,REPLICATE>BLOCK:19,REPLICATE:1,REPLICATE:3,REPLICATE:2",watered,2013,Yes,,82.5,,,,95.5,,,,94,,,,17,,8,,,,8.5,,,,9.5,,,
1,3353951,Gai13,Biogemma Gaillac 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,1,,,"REPLICATE>BLOCK>PLOT>PLANT:1,REPLICATE>BLOCK>PLOT:R1024B02252,REPLICATE>BLOCK:1,REPLICATE:1,REPLICATE:3,REPLICATE:2,REPLICATE:2",rainfed,2013,Yes,,81,,,,91,,,,80.5,,,,17,,7.5,,,,9,,,,8.5,,,
9,3353962,Gai13,Biogemma Gaillac 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,9,,,"REPLICATE>BLOCK>PLOT>PLANT:9,REPLICATE>BLOCK>PLOT:R1024B02252,REPLICATE>BLOCK:1,REPLICATE:1,REPLICATE:3,REPLICATE:2,REPLICATE:2",rainfed,2013,Yes,,76,,,,85.5,,,,78,,,,17,,8,,,,8.5,,,,7.7,,,
2,3353945,Gai13,Biogemma Gaillac 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,2,,,"REPLICATE>BLOCK>PLOT>PLANT:2,REPLICATE>BLOCK>PLOT:R1014B01252,REPLICATE>BLOCK:19,REPLICATE:1,REPLICATE:3,REPLICATE:2",watered,2013,Yes,,79,,,,91,,,,89,,,,17,,8.5,,,,9,,,,9,,,
7,3353974,Gai13,Biogemma Gaillac 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,7,,,"REPLICATE>BLOCK>PLOT>PLANT:7,REPLICATE>BLOCK>PLOT:R1024B01252,REPLICATE>BLOCK:28,REPLICATE:1,REPLICATE:3,REPLICATE:1,REPLICATE:2",rainfed,2013,Yes,,92,,,,98.5,,,,76,,,,17,,7.5,,,,8.5,,,,7.9,,,
5,3353958,Gai13,Biogemma Gaillac 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,5,,,"REPLICATE>BLOCK>PLOT>PLANT:5,REPLICATE>BLOCK>PLOT:R1024B02252,REPLICATE>BLOCK:1,REPLICATE:1,REPLICATE:3,REPLICATE:2,REPLICATE:2",rainfed,2013,Yes,,74.5,,,,82,,,,67,,,,16,,8,,,,8,,,,7.5,,,
4,3353972,Gai13,Biogemma Gaillac 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,4,,,"REPLICATE>BLOCK>PLOT>PLANT:4,REPLICATE>BLOCK>PLOT:R1024B01252,REPLICATE>BLOCK:28,REPLICATE:1,REPLICATE:3,REPLICATE:1,REPLICATE:2",rainfed,2013,Yes,,78,,,,73.5,,,,54.5,,,,17,,6,,,,6.5,,,,6.5,,,
2,3353970,Gai13,Biogemma Gaillac 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,2,,,"REPLICATE>BLOCK>PLOT>PLANT:2,REPLICATE>BLOCK>PLOT:R1024B01252,REPLICATE>BLOCK:28,REPLICATE:1,REPLICATE:3,REPLICATE:1,REPLICATE:2",rainfed,2013,Yes,,81,,,,77,,,,56,,,,16,,7,,,,8,,,,7,,,
10,3353976,Gai13,Biogemma Gaillac 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,10,,,"REPLICATE>BLOCK>PLOT>PLANT:10,REPLICATE>BLOCK>PLOT:R1024B01252,REPLICATE>BLOCK:28,REPLICATE:1,REPLICATE:3,REPLICATE:1,REPLICATE:2",rainfed,2013,Yes,,81,,,,84.5,,,,63.5,,,,16,,7,,,,7.7,,,,7,,,
6,3353927,Gai13,Biogemma Gaillac 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,6,,,"REPLICATE>BLOCK>PLOT>PLANT:6,REPLICATE>BLOCK>PLOT:R1024B01252,REPLICATE>BLOCK:28,REPLICATE:1,REPLICATE:3,REPLICATE:1,REPLICATE:2",rainfed,2013,Yes,,,,93.5,,,,78,,,,70,,16,,,,7.5,,,,7.5,,,,6.5,
4,3353957,Gai13,Biogemma Gaillac 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,4,,,"REPLICATE>BLOCK>PLOT>PLANT:4,REPLICATE>BLOCK>PLOT:R1024B02252,REPLICATE>BLOCK:1,REPLICATE:1,REPLICATE:3,REPLICATE:2,REPLICATE:2",rainfed,2013,Yes,,85,,,,93,,,,76,,,,17,,7.7,,,,8,,,,7.7,,,
